processed_at,season,date,hydroseason,year,site,common_name,species_name,functional_grp,group,sampleID,d13C,C%,d15N,N%,d34S,S%,outlier,CN_molar_ratio,CS_molar_ratio,WSU_ID_CN,WSU_ID_S,WSU_ID_C,WSU_ID_N,S_outlier,comment 
FIU,wet19,11-*-19,Wet,2019,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal5,-22.61,47.01426667,8.88,15.04833333,18.16,1.1,,3.644920443,113.9739798,G-224214,S-31199,0,0,,
FIU,wet19,11-*-19,Wet,2019,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal2,-21.84,47.23936364,9.51,14.58672727,17.74,1.12,,3.778269785,112.4746753,G-223809,S-30898,0,0,,
FIU,wet19,11-*-19,Wet,2019,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal1,-21.97,50.41278182,9.66,15.698,17.64,1.08,,3.746650027,124.4760045,G-223888,S-30977,0,0,,
FIU,wet19,11-*-19,Wet,2019,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal4,-21.23,45.15426667,9.69,14.12666667,16.88,0.95,,3.729115935,126.7488187,G-224174,S-31159,0,0,,
FIU,wet19,11-*-19,Wet,2019,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal3,-23.79,37.72764444,10.11,11.73712222,21.28,1.03,,3.750117308,97.67674936,G-223723,S-30813,0,0,,
FIU,wet19,43785,Wet,2019,TS9,Atlantic Marginella,Prunum apicinum,Gastropod,Consumer,W19-TS9-Pap2,-15.32,41.01061818,12.35,10.38872727,13.94,1.6,,4.605542139,68.3510303,G-224226,S-31211,0,0,,
FIU,wet19,#N/A,Wet,2019,TS9,Atlantic Marginella,Prunum apicinum,Gastropod,Consumer,W19-TS9-Pap1.2,-15.71,38.40203636,12.73,9.641818182,14.49,1.33,,4.646672952,76.99656413,G-224235,S-31220,0,0,,
FIU,wet19,43783,Wet,2019,TS10,Atlantic Modulus,Modulus modulus,Gastropod,Consumer,W19-TS10-Mmo2,-10.02,39.32140909,5.07,9.498545455,7.9,1.51,,4.829684449,69.44178206,G-223788,S-30877,0,0,,
FIU,wet19,43783,Wet,2019,TS10,Atlantic Modulus,Modulus modulus,Gastropod,Consumer,W19-TS10-Mmo1,-9.95,35.23022222,5.13,8.700888889,7.74,1.6,x,4.723876658,58.71703703,G-224220,S-31205,0,0,,
FIU,wet19,43783,Wet,2019,TS11,Atlantic Modulus,Modulus modulus,Gastropod,Consumer,W19-TS11-Mmo1,-13.37,35.60498182,1.88,9.217454546,16.37,2.05,x,4.506574483,46.31542351,G-223833,S-30922,0,0,,
FIU,wet19,43783,Wet,2019,TS11,Atlantic Modulus,Modulus modulus,Gastropod,Consumer,W19-TS11-Mmo2,-13.94,32.4992,1.91,8.375538462,15.75,1.73,x,4.526960685,50.09510597,G-224212,S-31197,0,0,,
FIU,wet19,43786,Wet,2019,TS10,Barracuda,Sphyraena barracuda,Predator,Consumer,W19-TS10-Sba1,-12.37,47.22306667,10.53,15.08783333,-0.94,1.25,,3.651523488,100.7425422,G-224187,S-31172,0,0,,
FIU,wet19,43783,Wet,2019,TS10,Batophora,Batophora oerstedii,Producer,Source,W19-TS10-Boe2,-15.51,27.51011429,5.96,1.201857143,18.81,2.45,,26.70461587,29.94298154,G-224227,S-31212,0,0,,
FIU,wet19,43783,Wet,2019,TS10,Batophora,Batophora oerstedii,Producer,Source,W19-TS10-Boe1,-16.66,31.83053333,6.39,1.12375,19.59,2.29,,33.04615993,37.06612324,G-224224,S-31209,0,0,,
ULL,dry19,,Dry,2019,SRS6,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,SRS6 AN1,-24.43,52.435,9.29,14.836,15.42,1.36,,4.123359845,102.8137255,,,,,,
FIU,wet19,43786,Wet,2019,TS7,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,W19-TS7-Ami3,-18.08,46.36984546,9.46,12.76711111,3.82,1.21,,4.237305728,102.1924969,,S-31005,G-223975,N-10827,,
FIU,wet19,43786,Wet,2019,TS7,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,W19-TS7-Ami2,-17.82,46.04783,10,13.33355556,2.38,1.21,,4.029117972,101.4828209,,S-31059,G-223984,N-10881,,
FIU,wet19,43786,Wet,2019,TS7,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,W19-TS7-Ami1,-18.09,39.21777273,10.77,11.64476923,3.89,1.17,,3.929151989,89.38523699,,S-31004,G-224001,N-10826,,
ULL,dry19,,Dry,2019,TS9,Bivalve,Bivalve,Sessile_filter_feeder,Consumer,TS9_BV1_d19,-16.76,30.26214286,8.88,6.445714286,,2.71,,5.477412086,29.77824635,G-224532,S-31358,,,,
FIU,wet19,43761,Wet,2019,SRS4,Blue Crab,Callinectus sapidus,Crab,Consumer,W19-SRS4-Csa2,-32.91,40.6737,6.45,12.093,5.21,0.85,,3.923976681,127.6037647,G-223818,S-30907,0,0,,
FIU,wet19,43809,Wet,2019,SRS4,Blue Crab,Callinectus sapidus,Crab,Consumer,W19-SRS4-Csa1,-28.77,34.11236923,7.52,10.58153846,16.06,0.93,,3.761056509,97.8132451,G-224209,S-31194,0,0,,
ULL,dry19,,Dry,2019,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,TS10_BC1_d19,-12.87,29.27433333,5.84,6.728148148,8.49,0.81,,5.076194539,96.37640603,G-224592,S-31406,,,,
FIU,wet19,43786,Wet,2019,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,W19-TS10-Csa3,-11.95,19.86351111,4.58,4.543692308,10.88,0.33,,5.100278523,86.83502125,,S-31323,G-224347,N-10940,,
FIU,wet19,43786,Wet,2019,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,W19-TS10-Csa2,-11.5,25.41051111,4.69,5.2336,6.69,0.65,,5.664474988,85.77387716,,S-31318,G-224348,N-10935,,
FIU,wet19,43786,Wet,2019,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,W19-TS10-Csa1,-11.65,38.65136,6.29,11.1746,1.63,0.99,,4.035334896,104.1114074,G-224215,S-31200,0,0,,
FIU,wet19,43783,Wet,2019,TS11,Blue Striped Grunt,Haemulon sciurus,demersal_fish,Consumer,W19-TS11-Hsc3,-13.91,36.0994,8.31,11.29225,9.13,1.28,,3.729634631,75.20708333,G-223906,S-30995,0,0,,
FIU,wet19,43783,Wet,2019,TS11,Blue Striped Grunt,Haemulon sciurus,demersal_fish,Consumer,W19-TS11-Hsc2,-14.49,40.52306667,8.91,12.37166667,11.28,1.36,,3.821385782,79.45699347,G-224238,S-31223,0,0,,
FIU,wet19,43783,Wet,2019,TS11,Blue Striped Grunt,Haemulon sciurus,demersal_fish,Consumer,W19-TS11-Hsc1,-15.01,46.07608889,8.94,14.47355556,9.74,1.32,,3.714045026,93.08300786,G-224188,S-31173,0,0,,
FIU,wet19,43809,Wet,2019,RB10,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-RB10-Lgo2,-31.63,38.05879091,9.1,11.14745455,20.21,0.8,,3.98314454,126.8626364,G-224280,S-31265,,,,
FIU,wet19,43809,Wet,2019,RB10,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-RB10-Lgo1,-29.05,36.9401,9.14,12.15333333,3.7,0.37,,3.546087494,266.234955,,S-31068,G-223942,N-10890,,
ULL,dry19,,Dry,2019,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,SRS-LUCGOO-1,-31.46,31.88935417,7.95,8.649385417,22.09,0.661661808,,4.301374576,128.5222704,G-214714,S-29853,,,,
ULL,dry19,,Dry,2019,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,SRS-LUCGOO-2,-31.03,26.90833333,8.53,6.912072917,22.31,0.617809917,,4.541771467,116.1450368,G-214715,S-29854,,,,
ULL,dry19,,Dry,2019,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,SRS-LUCGOO-3,-30.66,34.4326125,8.84,9.1038875,21.86,0.585532258,,4.412552467,156.8151007,G-214716,S-29855,,,,
FIU,wet19,43795,Wet,2019,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-SRS3-Lgo2,-28.84,40.68340909,9.45,12.11327273,22.11,0.97,,3.91834464,111.8444236,G-224273,S-31258,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-SRS3-Lgo3,-29.11,37.51881111,9.49,10.87,22.39,0.87,,4.026857985,115.0001873,G-224267,S-31252,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-SRS3-Lgo1,-29.32,39.54794167,9.64,11.55133333,21.99,0.94,,3.994280484,112.1927423,G-224272,S-31257,0,0,,
ULL,dry19,,Dry,2019,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,TSL-LUCGOO-1,-29.34,29.29259091,7.06,8.464102273,15.22,0.535616046,,4.037603551,145.8387521,G-214727,S-29866,,,,
ULL,dry19,,Dry,2019,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,TSL-LUCGOO-2,-29.33,28.65243077,7.55,8.078261539,14.32,0.5389875,,4.137998719,141.7592839,G-214728,S-29867,,,,
ULL,dry19,,Dry,2019,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,TSL-LUCGOO-3,-30.42,27.37858108,8.56,7.593108108,14.56,0.618540609,,4.206667082,118.0351758,G-214729,S-29868,,,,
FIU,wet19,11-*-19,Wet,2019,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-TS3-Lgo3,-23.15,40.84833333,7.49,13.13225,12.02,1.25,,3.628958395,87.1431111,,S-31087,G-223912,N-10909,,
FIU,wet19,11-*-19,Wet,2019,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-TS3-Lgo1,-23.48,40.21578889,7.52,13.6942,12.45,1.12,,3.426152705,95.75187831,,S-31075,G-223980,N-10897,,
FIU,wet19,11-*-19,Wet,2019,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-TS3-Lgo2,-23.05,42.12398889,8.15,12.2522,11.56,1.29,,4.011088107,87.07801321,,S-31083,G-223963,N-10905,,
ULL,dry19,,Dry,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG1_d19,-31.21,42.681,8.17,9.79,22.15,0.689,,5.086261491,165.1901306,,,,,,
ULL,dry19,,Dry,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG6m_d19,-31.47,44.037,10.99,13.896,24.27,1.102,,3.697215026,106.5626134,,,,,,
ULL,dry19,,Dry,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG2m_d19,-30.77,46.028,11.13,14.448,26.68,1.103,,3.716731266,111.2795406,,,,,,
ULL,dry19,,Dry,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG5m_d19,-31.79,48.739,12.19,15.362,25.18,1.186,,3.701482012,109.5874087,,,,,,
ULL,dry19,,Dry,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG4m_d19,-32.24,52.908,12.64,16.669,25.54,1.235,,3.703041574,114.2412955,,,,,,
ULL,dry19,,Dry,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG3m_d19,-31.39,47.339,12.72,14.973,23.72,1.305,,3.688561633,96.73358876,,,,,,
FIU,wet19,43809,Wet,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma1,-28.35,44.72944,9.54,13.10609,15.9,1.05,,3.981686885,113.5985778,G-223736,S-30822,0,0,,
FIU,wet19,43809,Wet,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma2,-32.94,50.84058889,10.46,15.30577778,16.34,1.15,,3.875269929,117.8912206,G-223748,S-30837,0,0,,
FIU,wet19,43809,Wet,2019,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma3,-33.09,45.01709167,10.96,11.9922,19.65,0.9,,4.379508371,133.3839753,,S-31032,G-223985,N-10854,,
FIU,wet19,43795,Wet,2019,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma3,-33.39,49.17842727,9.83,14.95709091,22.16,1.21,,3.835961963,108.3822089,G-223871,S-30960,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma2,-33.31,48.90508333,9.93,15.004,21.98,1.78,,3.802714646,73.26604244,G-223852,S-30941,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma1,-28.41,49.05265455,10.11,14.89643636,21.08,1.06,,3.841730706,123.4029045,G-223734,S-30818,0,0,,
ULL,dry19,,Dry,2019,TS10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,TS10 BG1,-11.7,23.592,5.66,4.819,9.12,0.532,,5.711558415,118.2556391,,,,,,
FIU,wet19,11-*-19,Wet,2019,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma4,-29.54,35.46421818,8.62,10.86945455,13.17,1.34,,3.806531507,70.57555857,G-223857,S-30946,0,0,,
FIU,wet19,43789,Wet,2019,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma1,-28.39,49.28174546,8.72,15.11922727,16.38,1.17,,3.802798164,112.3230666,G-223719,S-30811,0,0,,
FIU,wet19,11-*-19,Wet,2019,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma3,-28.74,53.78109091,8.72,16.38056364,18.37,1.13,,3.830430225,126.9170287,G-223720,S-30814,0,0,,
FIU,wet19,43789,Wet,2019,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma2,-28.94,62.5264,9.09,19.79475,17.96,1.2,,3.685192623,138.9475556,G-223898,S-30987,0,0,,
FIU,wet19,11-*-19,Wet,2019,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma5,-26.85,53.64256667,9.47,16.09533333,17.41,1.2,,3.888269548,119.2057037,G-223869,S-30958,0,0,,
FIU,wet19,43761,Wet,2019,SRS4,Bostrychia,Bostrychia,Producer,Source,W19-SRS4-Bat2,-33.88,37.60751304,5.74,2.811043478,12.07,2.61,,15.60823666,38.42402354,G-224219,S-31204,0,0,,
FIU,wet19,43761,Wet,2019,SRS4,Bostrychia,Bostrychia,Producer,Source,W19-SRS4-Bat1,-39.77,33.75104,6.76,2.22472,18.45,3.99,,17.69940187,22.55708605,G-224218,S-31203,0,0,,
FIU,wet19,43760,Wet,2019,SRS6,Bostrychia,Bostrychia,Producer,Source,W19-SRS6-Bos1,-32.73,22.72227368,6.29,2.334421053,18.18,2.86,,11.35584314,16.55539066,G-223837,S-30926,0,0,,
FIU,wet19,43760,Wet,2019,SRS6,Bostrychia,Bostrychia,Producer,Source,W19-SRS6-Bos2,-33.94,25.2784,6.3,2.668431579,16.96,3.94,,11.05198533,12.41419276,G-223835,S-30924,0,0,,
FIU,wet19,43809,Wet,2019,RB10,Bowfin,Amia calva,Predator,Consumer,W19-RB10-Aca2,-31.22,53.52386923,10.9,9.666461539,24.28,0.6,,6.459914401,237.8838632,G-224240,S-31225,0,0,,
FIU,wet19,43809,Wet,2019,RB10,Bowfin,Amia calva,Predator,Consumer,W19-RB10-Aca1,-31.35,53.46689,11.2,10.6426,25.04,0.74,,5.861165348,192.6734775,G-224239,S-31224,0,0,,
FIU,wet19,43809,Wet,2019,RB10,Bowfin,Amia calva,Predator,Consumer,W19-RB10-Aca3,-29.16,44.36890909,11.26,12.44618182,24.54,0.92,,4.159004586,128.6055336,G-223786,S-30875,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bowfin,Amia calva,Predator,Consumer,W19-SRS3-Aca1,-28.3,53.97045833,11.29,15.6205,24.48,1.05,,4.030955137,137.0678307,G-223873,S-30962,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bowfin,Amia calva,Predator,Consumer,W19-SRS3-Aca2,-28.87,51.37952222,12.2,13.93377778,22.45,1.23,,4.30197588,111.3919181,G-223830,S-30919,0,0,,
FIU,wet19,43795,Wet,2019,SRS3,Bowfin,Amia calva,Predator,Consumer,W19-SRS3-Aca3,-30.18,95.9584,12.36,21.32727273,25.11,0.74,,5.249216254,345.796036,G-223897,S-30986,0,0,,
FIU,wet19,43761,Wet,2019,SRS6,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-SRS6-Lte2,-26.51,37.55966667,7.68,8.294909091,5.53,0.82,,5.282711436,122.1452575,,S-31051,G-224006,N-10873,,
FIU,wet19,43761,Wet,2019,SRS6,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-SRS6-Lte3,-26.93,38.5786,8.14,10.5945,5.07,1.04,,4.248276622,98.91948718,,S-31042,G-223914,N-10864,,
FIU,wet19,43761,Wet,2019,SRS6,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-SRS6-Lte1,-25.77,35.71595556,8.67,9.701384615,5.58,1,,4.295120385,95.24254816,,S-31037,G-223972,N-10859,,
FIU,wet19,43786,Wet,2019,TS10,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS10-Lte1,-10.87,36.43863333,5.6,8.382444444,10.46,1.04,,5.071520506,93.43239315,G-224258,S-31243,0,0,,
FIU,wet19,43786,Wet,2019,TS10,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS10-Lte2,-12.02,39.71128889,5.93,9.596,11.17,1.11,,4.828036373,95.40249583,G-224290,S-31275,,,,
FIU,wet19,43783,Wet,2019,TS11,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS11-Lte1,-14.47,31.76111111,5.93,9.179333333,12.98,0.81,,4.036745184,104.5633288,,S-31022,G-224000,N-10844,,
FIU,wet19,43783,Wet,2019,TS11,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS11-Lte2,-14.51,31.21146,6.05,9.90425,11.88,1.12,,3.676539869,74.313,,S-31354,G-224361,N-10927,,
FIU,wet19,43783,Wet,2019,TS11,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS11-Lte3,-14.62,31.84392857,6.13,9.61,12.79,0.96,,3.865894901,88.45535714,,S-31066,G-223999,N-10888,,
FIU,wet19,43786,Wet,2019,TS7,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS7-Lte2,-19.07,38.7668,9.39,10.39066667,7.96,1.06,,4.352746053,97.52654088,,S-31011,G-223960,N-10833,,
FIU,wet19,43786,Wet,2019,TS7,Brown Grass Shrimp,Leander tenuicornis,Shrimp,Consumer,W19-TS7-Lte1,-18.09,40.384,10.68,11.67,5.82,1.11,,4.037246501,97.01861862,G-224178,S-31163,0,0,,
FIU,wet19,43783,Wet,2019,TS11,Bubble Snail,Bulla occidentalis,Gastropod,Consumer,W19-TS11-Bul2,-18.8,34.92356667,4.37,7.7925,14.21,1.77,,5.228637936,52.61554301,G-224291,S-31276,,,,
FIU,wet19,43785,Wet,2019,TS9,Bubble Snail,Bulla occidentalis,Gastropod,Consumer,W19-TS9-Bul1,-20.25,31.2946,11.99,7.457,17.57,1.92,,4.896119977,43.46472222,G-224232,S-31217,0,0,,
FIU,wet19,43785,Wet,2019,TS9,Bubble Snail,Bulla occidentalis,Gastropod,Consumer,W19-TS9-Bul2,-20.71,35.776,12.94,8.650545455,18.45,2.01,,4.824975128,47.46401327,G-224211,S-31196,0,0,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 321,-22.75,41.949,10.72,14.435,5.21,0.934,x,3.390405265,119.7687366,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 308,-23.2,44.182,10.88,15.563,8.17,0.741,x,3.31206494,158.9995502,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 330,-21.12,38.679,10.97,13.496,9.29,0.954,x,3.343620332,108.1174004,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 323,-18.02,39.922,10.97,13.801,10.29,0.881,x,3.374803758,120.8384412,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 312,-22.88,34.269,11,11.877,14.19,1.078,x,3.366212006,84.77179963,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 307,-19.96,40.262,11.01,14.025,11.17,0.864,x,3.349185977,124.2654321,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 315,-24.93,39.871,11.22,12.717,9.38,1.079,x,3.657794029,98.53815261,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 329,-21.94,39.003,11.3,14.203,9.1,0.747,x,3.203794973,139.2342704,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 305,-20.85,39.964,11.39,14.479,6.38,0.839,x,3.22015793,127.0210568,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 311,-23.54,34.235,11.43,11.429,10.64,0.85,x,3.494691866,107.4039216,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 313,-18.88,42.175,11.47,14.906,8.44,0.887,x,3.300963818,126.7944382,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 306,-21.77,39.29,11.5,14.001,9.96,0.924,x,3.273932814,113.3910534,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 328,-24.99,40.995,11.51,14.469,10.88,0.907,x,3.305515239,120.5292172,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 316,-21.02,42.064,11.51,15.719,9.25,0.731,x,3.121996734,153.4482444,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 309dup,-21.99,41.254,11.63,14.047,6.31,0.942,S,3.426330652,116.7841472,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 309,-21.98,52.177,11.65,17.811,6.34,0.894,x,3.417728744,155.6360925,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 326,-23.59,40.365,11.66,14.456,10.93,0.692,x,3.257643885,155.5491329,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 322,-22.5,35.593,11.68,13.245,8.97,0.929,x,3.135157921,102.1686401,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 325,-22.49,39.333,11.72,13.509,9.44,0.905,x,3.396883559,115.8983425,,,,,,
ULL,dry19,,Dry,2019,SRS4,Bull shark,Carcharhinus leucas,Predator,Consumer,MS 318,-20.4,41.205,12.06,14.331,9.83,0.9,x,3.354441421,122.0888889,,,,,,
