"season","site","species","brown","green","transect","fill"
"Wet","Upper River","Largemouth Bass",0.444,0.555,"Shark River Slough",0.572181818181818
"Wet","Upper River","Peacock Eel",0.524,0.477,"Shark River Slough",0.572181818181818
"Wet","Upper River","Redear Sunfish",0.449,0.551,"Shark River Slough",0.572181818181818
"Wet","Upper River","Redfish",0.397,0.603,"Shark River Slough",0.572181818181818
"Wet","Upper River","Snook",0.468,0.532,"Shark River Slough",0.572181818181818
"Wet","Upper River","Spotted Sunfish",0.449,0.551,"Shark River Slough",0.572181818181818
"Wet","Upper River","Spotted Tilapia",0.41,0.59,"Shark River Slough",0.572181818181818
"Wet","Upper River","Striped Mullet",0.429,0.571,"Shark River Slough",0.572181818181818
"Wet","Upper River","Tidewater Mojarra",0.377,0.623,"Shark River Slough",0.572181818181818
"Wet","Upper River","Tidewater Silverside",0.403,0.597,"Shark River Slough",0.572181818181818
"Wet","SRS Marsh","Bluefin Killifish",0.209,0.791,"Shark River Slough",0.796125
"Wet","SRS Marsh","Bluegill",0.197,0.803,"Shark River Slough",0.796125
"Wet","SRS Marsh","Bowfin",0.204,0.796,"Shark River Slough",0.796125
"Wet","SRS Marsh","Flagfish",0.209,0.792,"Shark River Slough",0.796125
"Wet","SRS Marsh","Gar",0.186,0.815,"Shark River Slough",0.796125
"Wet","SRS Marsh","Giant Water Bug",0.199,0.802,"Shark River Slough",0.796125
"Wet","SRS Marsh","Golden Topminnow",0.221,0.779,"Shark River Slough",0.796125
"Wet","SRS Marsh","Largemouth Bass",0.205,0.794,"Shark River Slough",0.796125
"Wet","SRS Marsh","Mayan Cichlid",0.198,0.802,"Shark River Slough",0.796125
"Wet","SRS Marsh","Peacock Eel",0.219,0.781,"Shark River Slough",0.796125
"Wet","SRS Marsh","Sailfin Molly",0.208,0.791,"Shark River Slough",0.796125
"Wet","SRS Marsh","Spotted Sunfish",0.206,0.794,"Shark River Slough",0.796125
"Wet","SRS Marsh","Spotted Tilapia",0.185,0.815,"Shark River Slough",0.796125
"Wet","SRS Marsh","Tidewater Mojarra",0.192,0.807,"Shark River Slough",0.796125
"Wet","SRS Marsh","Walking Catfish",0.213,0.787,"Shark River Slough",0.796125
"Wet","SRS Marsh","Western Mosquitofish",0.211,0.789,"Shark River Slough",0.796125
"Wet","Mid River","Blue Crab",0.246,0.754,"Shark River Slough",0.751846153846154
"Wet","Mid River","Crested Goby",0.258,0.741,"Shark River Slough",0.751846153846154
"Wet","Mid River","Dark False Mussel",0.212,0.788,"Shark River Slough",0.751846153846154
"Wet","Mid River","Eastern Grass Shrimp",0.274,0.726,"Shark River Slough",0.751846153846154
"Wet","Mid River","Harris Mud Crab",0.261,0.739,"Shark River Slough",0.751846153846154
"Wet","Mid River","Pink Shrimp",0.253,0.747,"Shark River Slough",0.751846153846154
"Wet","Mid River","Redfish",0.254,0.747,"Shark River Slough",0.751846153846154
"Wet","Mid River","Sailfin Molly",0.231,0.769,"Shark River Slough",0.751846153846154
"Wet","Mid River","Snook",0.268,0.732,"Shark River Slough",0.751846153846154
"Wet","Mid River","Spotted Tilapia",0.228,0.772,"Shark River Slough",0.751846153846154
"Wet","Mid River","Striped Mojarra",0.251,0.748,"Shark River Slough",0.751846153846154
"Wet","Mid River","Striped Mullet",0.233,0.767,"Shark River Slough",0.751846153846154
"Wet","Mid River","Tidewater Mojarra",0.256,0.744,"Shark River Slough",0.751846153846154
"Wet","Lower River","Brown Grass Shrimp",0.692,0.308,"Shark River Slough",0.22375
"Wet","Lower River","Clown Goby",0.675,0.325,"Shark River Slough",0.22375
"Wet","Lower River","Crested Goby",0.806,0.194,"Shark River Slough",0.22375
"Wet","Lower River","Eastern Grass Shrimp",0.825,0.174,"Shark River Slough",0.22375
"Wet","Lower River","Eastern Mosquitofish",0.747,0.253,"Shark River Slough",0.22375
"Wet","Lower River","Golden Topminnow",0.767,0.233,"Shark River Slough",0.22375
"Wet","Lower River","Pink Shrimp",0.878,0.121,"Shark River Slough",0.22375
"Wet","Lower River","Sailfin Molly",0.868,0.131,"Shark River Slough",0.22375
"Wet","Lower River","Salt Marsh Mud Crab",0.624,0.376,"Shark River Slough",0.22375
"Wet","Lower River","Silver Jenny",0.851,0.148,"Shark River Slough",0.22375
"Wet","Lower River","Striped Mullet",0.833,0.167,"Shark River Slough",0.22375
"Wet","Lower River","Tidewater Mojarra",0.745,0.255,"Shark River Slough",0.22375
"Dry","Mid Bay","Blue Crab",0.395,0.604,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Bluegill",0.399,0.602,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Dwarf Seahorse",0.394,0.606,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Hermit crab",0.373,0.627,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Snapping Shrimp",0.381,0.619,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Spider Crab",0.398,0.602,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Spiny Lobster",0.379,0.621,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Stone Crab",0.398,0.602,"Taylor Slough",0.609777777777778
"Dry","Mid Bay","Tidewater Mojarra",0.395,0.605,"Taylor Slough",0.609777777777778
"Dry","Outer Bay","Fringed Filefish",0.139,0.862,"Taylor Slough",0.871333333333333
"Dry","Outer Bay","Golden Topminnow",0.131,0.869,"Taylor Slough",0.871333333333333
"Dry","Outer Bay","Harris Mud Crab",0.117,0.883,"Taylor Slough",0.871333333333333
"Dry","TS Marsh","Bluefin Killifish",0.319,0.68,"Taylor Slough",0.613666666666667
"Dry","TS Marsh","Eastern Grass Shrimp",0.493,0.508,"Taylor Slough",0.613666666666667
"Dry","TS Marsh","Eastern Mosquitofish",0.348,0.653,"Taylor Slough",0.613666666666667
"Dry","Mangrove Ecotone","Eastern Oyster",0.662,0.339,"Taylor Slough",0.471833333333333
"Dry","Mangrove Ecotone","Gulf Pipefish",0.431,0.568,"Taylor Slough",0.471833333333333
"Dry","Mangrove Ecotone","Mussel",0.635,0.366,"Taylor Slough",0.471833333333333
"Dry","Mangrove Ecotone","Pink Shrimp",0.461,0.539,"Taylor Slough",0.471833333333333
"Dry","Mangrove Ecotone","Rainwater Killifish",0.318,0.682,"Taylor Slough",0.471833333333333
"Dry","Mangrove Ecotone","Stone Crab",0.664,0.337,"Taylor Slough",0.471833333333333
"Dry","Inner Bay","Eastern Grass Shrimp",0.24,0.76,"Taylor Slough",0.7085
"Dry","Inner Bay","Rainwater Killifish",0.297,0.703,"Taylor Slough",0.7085
"Dry","Inner Bay","Redfin Needlefish",0.297,0.702,"Taylor Slough",0.7085
"Dry","Inner Bay","Toadfish",0.332,0.669,"Taylor Slough",0.7085
"Wet","Mid Bay","Atlantic Modulus",0.642,0.358,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Barracuda",0.616,0.385,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Blue Crab",0.636,0.364,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Brown Grass Shrimp",0.618,0.383,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Cross-Barred Venus",0.626,0.375,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Goldspotted Killifish",0.635,0.364,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Hermit Crab",0.614,0.387,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Pinfish",0.645,0.355,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Redfin Needlefish",0.647,0.353,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Scaly Pearl Oyster",0.628,0.372,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Silver Jenny",0.632,0.368,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Tidewater Mojarra",0.635,0.365,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","Tidewater Silverside",0.642,0.357,"Taylor Slough",0.368857142857143
"Wet","Mid Bay","West Indian False Cerith",0.621,0.378,"Taylor Slough",0.368857142857143
"Wet","Outer Bay","Arrow Shrimp",0.102,0.898,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Blue Striped Grunt",0.112,0.888,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Brown Grass Shrimp",0.109,0.89,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Bubble Snail",0.095,0.905,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Chestnut Turban Snail",0.102,0.898,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Fringed Filefish",0.108,0.891,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Giant Purple Barnacle",0.1,0.9,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Harris Mud Crab",0.09,0.909,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Hermit Crab",0.103,0.896,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Ivory Cerith",0.105,0.895,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Penaeid Shrimp",0.109,0.891,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Schoolmaster Snapper",0.111,0.889,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Silver Jenny",0.131,0.868,"Taylor Slough",0.894285714285714
"Wet","Outer Bay","Stone Crab",0.098,0.902,"Taylor Slough",0.894285714285714
"Wet","TS Marsh","Asian Swamp Eel",0.07,0.93,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Bluefin Killifish",0.121,0.878,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Bluegill",0.391,0.609,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Eastern Grass Shrimp",0.324,0.676,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Eastern Mosquitofish",0.112,0.888,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Gar",0.084,0.916,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Golden Topminnow",0.128,0.872,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Largemouth Bass",0.103,0.897,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Mayan Cichlid",0.372,0.628,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Peacock Eel",0.329,0.671,"Taylor Slough",0.779272727272727
"Wet","TS Marsh","Redear Sunfish",0.393,0.607,"Taylor Slough",0.779272727272727
"Wet","Mangrove Ecotone","Bay Anchovy",0.359,0.641,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Brown Grass Shrimp",0.348,0.651,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Code Goby",0.317,0.683,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Crested Goby",0.324,0.676,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Eastern Oyster",0.611,0.389,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Flatback Mud Crab",0.582,0.417,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Goldspotted Killifish",0.35,0.65,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Harris Mud Crab",0.547,0.452,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Pilchard",0.41,0.59,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Pink Shrimp",0.392,0.607,"Taylor Slough",0.590272727272727
"Wet","Mangrove Ecotone","Rainwater Killifish",0.264,0.737,"Taylor Slough",0.590272727272727
"Wet","Inner Bay","Atlantic Marginella",0.177,0.823,"Taylor Slough",0.8366
"Wet","Inner Bay","Bubble Snail",0.14,0.86,"Taylor Slough",0.8366
"Wet","Inner Bay","Hermit Crab",0.151,0.849,"Taylor Slough",0.8366
"Wet","Inner Bay","Rainwater Killifish",0.194,0.806,"Taylor Slough",0.8366
"Wet","Inner Bay","Snapping Shrimp",0.155,0.845,"Taylor Slough",0.8366
