"site","season","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"TS7","wet19","Consumer","Code Goby","demersal_fish",2,-18.62,0.183847763108503,10.625,0.00707106781186658,3.425,0.558614357137373
"TS7","wet19","Consumer","Crested Goby","demersal_fish",3,-19.1666666666667,1.04920604903581,10.1266666666667,0.7245228314783,2.04666666666667,3.14258386257763
"TS7","wet19","Consumer","Flatback mud crab","Crab",2,-24.705,0.756604255869604,7.69,0.806101730552664,5.48,0.0282842712474619
"TS7","wet19","Consumer","Goldspotted Killifish","Forage_fish",2,-17.455,0.417193000900063,10.69,0.197989898732233,2.495,0.700035713374682
"TS7","wet19","Consumer","Harris Mud Crab","Crab",2,-23.725,0.572756492761103,7.99,0.268700576850888,4.425,0.417193000900063
"TS7","wet19","Consumer","Isopod","Benthic_invert",2,-22.9,3.08298556597335,7.755,1.85969083452062,7.62,3.13955410846827
"TS7","wet19","Consumer","Oyster","Sessile_filter_feeder",1,-26.22,NA,7.36,NA,8.81,NA
"TS7","wet19","Consumer","Pilchard","Forage_fish",2,-18.795,0.190918830920368,8.895,0.106066017177982,5.75,0.212132034355965
"TS7","wet19","Consumer","Pink Shrimp","Shrimp",1,-17.98,NA,8.79,NA,3.14,NA
"TS7","wet19","Consumer","Rainwater Killifish","Forage_fish",3,-18.8533333333333,0.987741531643442,11.89,0.343947670438397,7.26,0.897050723203543
"TS9","dry19","Consumer","Amphipod","Benthic_invert",1,-18.26,NA,11.2,NA,10.7,NA
"TS9","dry19","Consumer","Ghost Shrimp","Shrimp",1,-18.55,NA,11.61,NA,15.04,NA
"TS9","dry19","Consumer","Rainwater Killifish","Forage_fish",1,-16.38,NA,13.73,NA,12.68,NA
"TS9","dry19","Consumer","Sponge","Sessile_filter_feeder",3,-15.26,1.76076687837999,6.21333333333333,1.27735403601873,12.02,4.46891485709898
"TS9","dry19","Consumer","Toadfish","demersal_fish",1,-15.17,NA,12.66,NA,9.54,NA
"TS9","wet19","Consumer","Atlantic Marginella","Gastropod",2,-15.515,0.275771644662754,12.54,0.268700576850889,14.215,0.388908729652602
"TS9","wet19","Consumer","Bubble Snail","Gastropod",2,-20.48,0.325269119345812,12.465,0.67175144212722,18.01,0.622253967444161
"TS9","wet19","Consumer","Hermit Crab","Crab",1,-16.2,NA,9.82,NA,13.67,NA
"TS9","wet19","Consumer","Isopod","Benthic_invert",1,-23.75,NA,8.41,NA,16.86,NA
"TS9","wet19","Consumer","Rainwater Killifish","Forage_fish",2,-15.76,0.15556349186104,12.81,0.212132034355965,8.95,0.777817459305202
"TS9","wet19","Consumer","Snapping Shrimp","Shrimp",3,-16.9566666666667,1.51928711352836,11.48,0.37589892258425,1.3,0.63
