"name","site","season","brown","green","transect","fill"
"Harris Mud Crab","Mangrove Ecotone","Wet",0.534,0.466,"Taylor Slough",0.651727272727273
"Hermit Crab","Mid Bay","Wet",0.383,0.616,"Taylor Slough",0.436214285714286
"Hermit Crab","Outer Bay","Wet",0.055,0.945,"Taylor Slough",0.936071428571429
"Hermit Crab","Inner Bay","Wet",0.145,0.855,"Taylor Slough",0.8318
"Hermit crab","Mid Bay","Dry",0.168,0.833,"Taylor Slough",0.735
"Ivory Cerith","Outer Bay","Wet",0.062,0.939,"Taylor Slough",0.936071428571429
"Largemouth Bass","TS Marsh","Wet",0.092,0.908,"Taylor Slough",0.825818181818182
"Mayan Cichlid","TS Marsh","Wet",0.287,0.713,"Taylor Slough",0.825818181818182
"Mussel","Mangrove Ecotone","Dry",0.642,0.358,"Taylor Slough",0.491833333333333
"Peacock Eel","TS Marsh","Wet",0.218,0.782,"Taylor Slough",0.825818181818182
"Penaeid Shrimp","Outer Bay","Wet",0.073,0.926,"Taylor Slough",0.936071428571429
"Pilchard","Mangrove Ecotone","Wet",0.331,0.669,"Taylor Slough",0.651727272727273
"Pinfish","Mid Bay","Wet",0.681,0.319,"Taylor Slough",0.436214285714286
"Pink Shrimp","Mangrove Ecotone","Dry",0.415,0.586,"Taylor Slough",0.491833333333333
"Pink Shrimp","Mangrove Ecotone","Wet",0.309,0.691,"Taylor Slough",0.651727272727273
"Rainwater Killifish","Mangrove Ecotone","Dry",0.241,0.758,"Taylor Slough",0.491833333333333
"Rainwater Killifish","Mangrove Ecotone","Wet",0.158,0.842,"Taylor Slough",0.651727272727273
"Rainwater Killifish","Inner Bay","Dry",0.309,0.691,"Taylor Slough",0.714
"Rainwater Killifish","Inner Bay","Wet",0.235,0.766,"Taylor Slough",0.8318
"Redear Sunfish","TS Marsh","Wet",0.268,0.733,"Taylor Slough",0.825818181818182
"Redfin Needlefish","Mid Bay","Wet",0.724,0.276,"Taylor Slough",0.436214285714286
"Redfin Needlefish","Inner Bay","Dry",0.307,0.693,"Taylor Slough",0.714
"Scaly Pearl Oyster","Mid Bay","Wet",0.534,0.467,"Taylor Slough",0.436214285714286
"Schoolmaster Snapper","Outer Bay","Wet",0.076,0.924,"Taylor Slough",0.936071428571429
"Silver Jenny","Mid Bay","Wet",0.565,0.435,"Taylor Slough",0.436214285714286
"Silver Jenny","Outer Bay","Wet",0.149,0.85,"Taylor Slough",0.936071428571429
"Snapping Shrimp","Mid Bay","Dry",0.15,0.849,"Taylor Slough",0.735
"Snapping Shrimp","Inner Bay","Wet",0.153,0.846,"Taylor Slough",0.8318
"Spider Crab","Mid Bay","Dry",0.296,0.704,"Taylor Slough",0.735
"Spiny Lobster","Mid Bay","Dry",0.185,0.815,"Taylor Slough",0.735
"Stone Crab","Mid Bay","Dry",0.296,0.705,"Taylor Slough",0.735
"Stone Crab","Outer Bay","Wet",0.044,0.956,"Taylor Slough",0.936071428571429
"Stone Crab","Mangrove Ecotone","Dry",0.679,0.321,"Taylor Slough",0.491833333333333
"Tidewater Mojarra","Mid Bay","Dry",0.32,0.68,"Taylor Slough",0.735
"Tidewater Mojarra","Mid Bay","Wet",0.606,0.394,"Taylor Slough",0.436214285714286
"Tidewater Silverside","Mid Bay","Wet",0.651,0.349,"Taylor Slough",0.436214285714286
"Toadfish","Inner Bay","Dry",0.335,0.665,"Taylor Slough",0.714
"West Indian False Cerith","Mid Bay","Wet",0.524,0.476,"Taylor Slough",0.436214285714286
